Item_ID,Name,Category,Sub_Category,Price,Is_Modification,Is_Available
1,The Classic,Burgers,Regular,8.5,FALSE,TRUE
2,Tillamook Cheddar,,,1,TRUE,TRUE
3,Daily's Bacon,,,1.5,TRUE,TRUE
4,Goodnight/Good Cause,Burgers,Regular,9.75,FALSE,TRUE
5,Magic Shroom,Burgers,Regular,9.95,FALSE,TRUE
6,El Diablo,Burgers,Regular,9.5,FALSE,TRUE
7,Llano Poblano,Burgers,Regular,9.95,FALSE,TRUE
8,Double Bacon Jam,Burgers,Regular,10.5,FALSE,TRUE
9,Mother Nature,Burgers,Regenerative,13.5,FALSE,TRUE
10,Buffalo Bill,Burgers,Regenerative,13.95,FALSE,TRUE
11,Nashville Hot Chicken,Burgers,Regenerative,10.95,FALSE,TRUE
12,Roosevelt,Burgers,Regenerative,13.95,FALSE,TRUE
13,Regenerative Royale,Burgers,Regenerative,10.95,FALSE,TRUE
14,Primetime,Burgers,Speciality,14.95,FALSE,TRUE
15,Doddy Melt,Burgers,Speciality,13.25,FALSE,TRUE
16,Ahi Tuna,Burgers,Speciality,13.95,FALSE,TRUE
17,Continental Club,Burgers,Speciality,11.25,FALSE,TRUE
18,Thunderbird,Burgers,Speciality,10.75,FALSE,TRUE
19,El Bandito Veggie,Burgers,Speciality,11.5,FALSE,TRUE
20,Make it Vegan,,,1,TRUE,TRUE
21,Crispy Tenders,Burgers,Speciality,11.5,FALSE,TRUE
22,Kale Ceasar,Salads,Regular,6.95,FALSE,TRUE
23,Chicken,,,4,TRUE,TRUE
24,Parmesan Truffle,Sides,Fries,8.25,FALSE,TRUE
25,Green Chile Queso,Sides,Fries,7.95,FALSE,TRUE
26,Hot Honey & Sage,Sides,Fries,8.95,FALSE,TRUE
27,Buffalo,Sides,Fries,7.75,FALSE,TRUE
28,BBQ Ranch,Sides,Fries,7.25,FALSE,TRUE
29,Nacho,Sides,Fries,9.25,FALSE,TRUE
30,Hand-cut Fries,Sides,Fries,6.95,FALSE,TRUE
31,small,,,3.75,TRUE,TRUE
32,Sweet Potato,Sides,Fries,8.25,FALSE,TRUE
33,small,,,4.75,TRUE,TRUE
34,Parmesan Truffle Brussels,Sides,Loaded Brussels,9.25,FALSE,TRUE
35,Hot Honey & Sage Brussels,Sides,Loaded Brussels,9.95,FALSE,TRUE
36,Thuder Bowl,Salads,Burger Bowls,11.75,FALSE,TRUE
37,Diablo Bowl,Salads,Burger Bowls,10.5,FALSE,TRUE
38,Shroom Bowl,Salads,Burger Bowls,10.95,FALSE,TRUE
39,Ahi Bowl,Salads,Burger Bowls,14.95,FALSE,TRUE
40,Candy Bar,Drinks,Shakes,6.75,FALSE,TRUE
41,mini,,,3.85,TRUE,TRUE
42,Oreo Cookies N' Cream (reg),Drinks,Shakes,6.75,FALSE,TRUE
43,mini,,,3.85,TRUE,TRUE
44,Nutella Chocolate Pretzel (reg),Drinks,Shakes,6.75,FALSE,TRUE
45,mini,,,3.85,TRUE,TRUE
46,Salted Caramel (reg),Drinks,Shakes,6.75,FALSE,TRUE
47,mini,,,3.85,TRUE,TRUE
48,Classic Shakes (reg),Drinks,Shakes,6.25,FALSE,TRUE
49,mini,,,3,TRUE,TRUE
50,The Larry (lil'),Drinks,Margaritas,4.25,FALSE,TRUE
51,big,,,10,TRUE,TRUE
52,Doble Fina,Drinks,Margaritas,10,FALSE,TRUE
53,House Frozen,Drinks,Margaritas,8,FALSE,TRUE
54,Schooner,,,10,TRUE,TRUE
55,Strawberry,Drinks,Margaritas,9.25,FALSE,TRUE
56,Skinny Dip,Drinks,Margaritas,11.5,FALSE,TRUE
57,Regerative Bonterra Organic Chardonnay,Drinks,Wine,14,FALSE,TRUE
58,Regerative Organic Cabernet Suavignon,Drinks,Wine,15,FALSE,TRUE
59,Texas Sling,Drinks,Boozy Drinks,10,FALSE,TRUE
60,Paloma,Drinks,Boozy Drinks,9.25,FALSE,TRUE
61,Old Fashioned,Drinks,Boozy Drinks,10,FALSE,TRUE
62,Kickin' Mule,Drinks,Boozy Drinks,9,FALSE,TRUE
63,Jameson Irish Whiskey,Drinks,Boozy Drinks,2,TRUE,TRUE
64,Sliders,Happy Hour,Happy Hour,10,FALSE,TRUE
